id,url,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,authorUserName,authorName,authorFollowers,authorFollowing,authorDescription
"1972837996698497468","https://x.com/JohnLemonNFT/status/1972837996698497468","Some nice sweeps of @TheDogePoundNFT today 👀","Twitter for iPhone",5,9,22,0,1701,"Tue Sep 30 01:36:46 +0000 2025","en",0,false,"","1972837996698497468","JohnLemonNFT","John Lemon 🍋 🐶",19811,2486,""
"1970864663832510823","https://x.com/JohnLemonNFT/status/1970864663832510823","Day 2 of Giphy growth for @TheDogePoundNFT 🚀

I won't be posting results daily, but we now have a system in place for GIFs that will grow faster than 99% of brands https://t.co/E7yv3t0yBy","Twitter for iPhone",8,13,43,0,1961,"Wed Sep 24 14:55:27 +0000 2025","en",1,false,"","1970864663832510823","JohnLemonNFT","John Lemon 🍋 🐶",19811,2486,""
"1970543985950142593","https://x.com/JohnLemonNFT/status/1970543985950142593","Day 1 of Giphy takeover starts today

I expect within a couple of months that @TheDogePoundNFT will be the 2nd most viewed NFT brand on Giphy behind @pudgypenguins https://t.co/sOL5yIar05","Twitter for iPhone",11,12,33,0,1417,"Tue Sep 23 17:41:11 +0000 2025","en",0,false,"","1970543985950142593","JohnLemonNFT","John Lemon 🍋 🐶",19811,2486,""
